Munic;Regiao;COD IBGE;COD IBGE2;Gini;Agua;Banheiro;Lixo;Energia;Densidade;Esperancadevida;Mortalidade_infantil;Prob_sobrevivencia;IDH;IDH_Renda;IDH_Longevidade;IDH_Educacao;Probab_sobrev60;TFT;Taxa_envelhecimento;Taxa_analfabetismo;frequencia_liquida_EM;Expectativa_anos_de_estudo;frequencia_liquida_Superior;perc_com_2_anos_de_de_atraso;Renda_per_capita;Renda_per_capita_nula;Perc_pobres;Perc_extremamente_pobres;Populacao;ISS
Santa Maria Madalena (RJ);Serrana                 ;330460;3304607;0,48;69,06;86,09;99,56;99,49;23,03;72,79;17,3;90,93;0,668;0,672;0,797;0,556;78,9;2,27;10,14;15,68;36,02;8,59;9,38;33,7;522,66;528,72;16,13;5,1;10321;962.064
Santo Antônio de Pádua (RJ);Noroeste Fluminense;330470;3304706;0,51;95,03;96,78;97,99;99,95;20,57;73,33;16,5;91,33;0,718;0,709;0,806;0,648;79,71;1,78;10,55;11,25;52,71;8,97;12,48;19,13;657,53;659,95;8,58;3,24;40589;
São Fidélis (RJ);Norte Fluminense        ;330480;3304805;0,47;92,33;98,66;98,87;99,76;20,24;72,21;18,2;90,49;0,691;0,685;0,787;0,611;78,02;1,78;11,33;12,33;51,27;9,47;12,47;22,83;567,23;568,15;12,22;5,59;37543;674.319
São Francisco de Itabapoana (RJ);Norte Fluminense        ;330475;3304755;0,49;95,84;84,87;94,59;99,5;29,02;72,44;17,8;90,66;0,639;0,618;0,791;0,533;78,36;1,91;8,52;23,35;38,51;8,2;7,28;29,53;375,49;385,15;23,92;15,22;41354;1.244.172
São Gonçalo (RJ);Metropolitana           ;330490;3304904;0,43;92,75;91,75;93,71;99,97;31,02;74,96;14,55;92,57;0,739;0,711;0,833;0,681;82,29;1,49;7,97;4,25;54,3;9,08;12,72;21,27;669,3;670,6;6,19;3,08;999728;53.387.693
São João da Barra (RJ);Norte Fluminense        ;330500;3305000;0,48;97,81;96,95;98,93;99,78;26,94;73,02;16,9;91,1;0,671;0,686;0,8;0,551;79,24;1,95;9,16;11,87;42,74;8,39;7,24;29,42;570,38;573,03;11,99;8,5;32747;
São João de Meriti (RJ);Metropolitana           ;330510;3305109;0,43;97,73;95,46;97,82;99,94;41,01;74,87;14,56;92,49;0,719;0,693;0,831;0,646;82,12;1,89;7,47;4,02;49,49;9,22;9,24;21,63;597,57;597,72;7,91;4,12;458673;24.791.878
São José de Ubá (RJ);Noroeste Fluminense;330513;3305133;0,47;88,01;96,54;99,73;99,95;19,06;72,88;17,2;91;0,652;0,633;0,798;0,548;79,04;1,83;9,67;17,9;42,18;8,92;10,83;20,84;410,44;412,21;20,63;6,97;7003;239.161
São José do Vale do Rio Preto (RJ);Serrana                 ;330515;3305158;0,47;90,17;99,32;99,52;100;18,25;73,33;16,5;91,33;0,66;0,67;0,806;0,533;79,71;1,85;7,13;12,68;41,93;8,71;12,17;23,5;517,99;520,64;14,13;6,39;20251;818.064
São Pedro da Aldeia (RJ);Baixadas Litorâneas ;330520;3305208;0,5;88,41;91,94;97,68;99,92;31,65;73,03;16,9;91,11;0,712;0,721;0,801;0,626;79,26;1,76;6,97;7,51;44,83;8,98;8,99;24,47;710,04;711,64;9,11;3,95;87875;4.943.676
São Sebastião do Alto (RJ);Serrana                 ;330530;3305307;0,42;93,04;96,2;98,4;99,6;23,88;72,35;18;90,6;0,646;0,638;0,789;0,536;78,24;1,83;10,71;17,29;51,54;8,47;6,07;22,28;423,88;435,55;14,3;7,14;8895;1.024.130
Sapucaia (RJ);Centro-Sul Fluminense   ;330540;3305406;0,5;91,94;95,7;98,65;99,91;22,8;73,26;16,6;91,28;0,675;0,682;0,804;0,561;79,61;2,05;8,87;12,21;45,43;8,46;10,68;24,95;558,94;576,15;14,99;9,83;17525;7.454.779
Saquarema (RJ);Baixadas Litorâneas ;330550;3305505;0,52;93,43;90,73;95,78;100;32,91;73,26;16,6;91,28;0,709;0,714;0,804;0,621;79,61;1,61;8,73;7,66;44,89;8,62;6,48;25,94;681,62;684,87;8,5;5,09;74234;13.393.172
Seropédica (RJ);Metropolitana           ;330555;3305554;0,47;98,72;97,8;94,9;99,97;35,05;73,3;16,5;91,31;0,713;0,695;0,805;0,648;79,67;1,77;6,75;7,38;46,51;9,28;19,64;24,55;604,82;605,64;9,95;5,27;78186;14.920.504
Silva Jardim (RJ);Baixadas Litorâneas ;330560;3305604;0,49;96,17;74,75;98,41;98,62;31,03;72,6;17,6;90,79;0,654;0,657;0,793;0,536;78,61;2,5;7,75;16,61;32,67;8,24;3,59;34,33;476,99;482,85;17,33;8,31;21349;
Sumidouro (RJ);Serrana                 ;330570;3305703;0,47;69,94;86,39;97,19;99,1;21,2;72,78;17,3;90,93;0,611;0,658;0,796;0,436;78,89;1,98;7,34;20,21;31,1;7,33;3,69;26,06;479,46;484,43;16,04;10,59;14900;801.052
Tanguá (RJ);Metropolitana           ;330575;3305752;0,42;93,03;89,83;96,99;99,86;32,91;72,55;17,7;90,75;0,654;0,644;0,793;0,548;78,54;2,02;7,25;11,1;42,47;8,61;4,42;31,82;440,84;442,09;14,37;8,11;30732;2.483.902
Teresópolis (RJ);Serrana                 ;330580;3305802;0,56;83,86;97,71;98,83;99,89;25,62;76,27;13,29;93,55;0,73;0,752;0,855;0,605;84,39;1,56;9,01;7,97;52,38;8,82;14,35;21,02;859,79;863,55;7,06;2,88;163746;17.656.462
Trajano de Moraes (RJ);Serrana                 ;330590;3305901;0,51;65,79;94,39;93,11;98,99;20,69;73,77;15,8;91,65;0,667;0,668;0,813;0,547;80,38;2;10,56;17,73;31,88;8,88;8,61;27,61;510,96;519,57;17,96;10,13;10289;706.979
Três Rios (RJ);Centro-Sul Fluminense   ;330600;3306008;0,52;98,42;98,25;98,17;99,89;26,48;73,03;16,9;91,11;0,725;0,725;0,801;0,656;79,26;1,55;8,63;6,59;50,23;8,95;19,28;26,95;726,83;726,83;9,23;4,6;77432;11.343.333
Valença (RJ);Médio Paraíba        ;330610;3306107;0,52;94,92;97,61;99,28;99,81;25,45;75,85;12,58;93;0,738;0,713;0,848;0,666;83,22;1,53;10,55;7,24;50,94;8,81;17,08;22,34;675,62;677,71;10,17;5,07;71843;3.491.417
Varre-Sai (RJ);Noroeste Fluminense;330615;3306156;0,44;91,37;96,64;100;100;16,63;73,58;16,1;91,51;0,659;0,636;0,81;0,555;80,08;2,19;7,05;14,75;51,2;8,37;8,47;26,54;418,62;418,62;13,16;4,08;9475;
Vassouras (RJ);Centro-Sul Fluminense   ;330620;3306206;0,52;94,55;92,19;99,09;99,9;26,46;73,79;15,8;91,66;0,714;0,719;0,813;0,624;80,4;1,72;9,52;9,34;40,65;8,85;22,75;29,78;701,06;703,61;11,32;5,46;34410;3.864.196
Volta Redonda (RJ);Médio Paraíba        ;330630;3306305;0,5;99,47;99,13;99,84;99,98;19,34;74,98;14,15;92,51;0,771;0,763;0,833;0,72;82,17;1,3;8,36;3,98;62,17;9,82;21,77;15,45;920,51;920,82;4,77;3,45;257803;65.751.200
